TargetName,ROI1,ROI2,ROI3,ROI4,ROI5,ROI6,ROI7,ROI8,ROI9,ROI10,ROI11,ROI12
SRSF6,643.77,740.58,708.23,595.43,370.62,327.04,357.41,311.82,276.07,186.85,315.41,321.28
CTNNA1,634.74,628.23,561.76,570.18,239,174.07,212.74,154.41,249.78,248.38,250.1,274.58
ELK1,240.63,242.11,224.26,238.31,618.13,603.44,644.85,536.7,547.77,371.43,675.28,666.63
ZNF28,393.17,392.44,372.31,391.45,736.65,701.55,711.98,716.59,854.52,439.79,829.51,707.67
AKAP7,557.23,640.89,608.18,590.71,249.48,206.77,228.82,203.88,232.25,182.3,222.31,225.04
ATP5ME,946.04,854.52,871.65,900.71,794.93,650.91,725.22,625.15,556.53,278,612.75,576.05
ZIC3,271.76,332.31,262.53,303.6,648.25,649.85,658.08,634.14,784.4,319.02,580.79,605.77
DHRS1,485.63,413.02,481.46,473.92,495.03,527.48,496.4,557.68,744.96,412.45,985.12,898.75
NCBP2,508.04,384.53,517.53,504.21,827.01,794.38,849.08,874,731.82,398.77,803.11,842.13
NFIX,682.06,797.55,470.48,577.92,297.28,322.82,291.22,350.8,271.69,141.28,311.24,358.08
PAIP1,640.65,550.69,629.82,548.98,198.4,213.1,225.98,247.36,179.67,241.54,208.42,179.75
HOOK1,239.08,237.37,266.29,237.63,545.45,641.41,502.07,620.65,284.84,232.43,596.08,703.43
TRA2A,796.3,822.87,824.91,780.55,574.26,490.56,538,473.73,306.75,282.56,550.22,486.88
CALM2,941.99,697.85,938.77,710.2,743.85,760.62,716.71,757.07,429.45,273.44,580.79,584.54
SPDYE16,390.68,463.65,408.69,392.8,591.94,553.85,537.06,569.68,902.72,432.95,869.8,854.87
MARK3,645.32,724.76,638.29,731.41,314.3,336.53,328.1,332.81,205.96,271.17,333.47,341.1
PGRMC2,647.5,558.6,609.12,634.13,1014.94,926.25,978.62,930.97,924.63,469.41,601.63,683.61
TUBB6,690.15,672.54,597.2,438.24,916.72,875.61,886.9,869.51,503.95,330.41,594.69,740.23
EXOSC6,198.92,189.89,188.51,210.37,539.56,623.48,590.95,679.12,552.15,307.63,511.32,537.83
HNRNPH3,802.53,791.22,779.75,761.36,959.94,899.88,910.54,1014.92,609.12,334.97,597.47,607.18
CCT6A,800.97,697.85,737.09,708.52,404.67,438.86,408.47,437.75,241.02,262.05,355.7,424.6
CCNB1,792.26,682.03,717.96,708.18,415.14,289.06,422.65,271.35,337.42,305.35,380.71,377.9
GNB2,760.5,775.39,736.78,808.15,411.22,402.99,381.99,425.76,394.39,236.99,473.8,479.8
ATP5PF,920.2,985.86,863.81,878.16,652.18,572.84,539.89,560.68,591.59,332.69,603.02,632.66
COL5A2,707.89,970.03,634.84,523.73,354.25,379.78,368.75,379.28,319.9,505.87,361.26,416.11
GANAB,762.37,892.49,753.4,769.11,804.75,758.51,726.16,802.05,385.63,211.92,648.88,669.46
SF3B2,384.77,384.53,374.82,385.39,760.22,766.95,759.25,812.54,569.68,353.2,683.61,777.03
KDM4B,393.79,517.46,340.94,429.49,640.4,703.66,622.15,671.62,876.43,428.4,928.16,789.76
ATP5MC3,1049.7,973.2,946.93,866.04,1037.86,743.75,938.9,754.07,723.05,350.92,691.95,833.64
CLIC4,804.09,588.67,752.46,657.7,336.57,365.02,320.53,326.81,241.02,282.56,376.54,372.24
UBAP2L,718.17,682.03,742.11,643.56,333.95,351.3,354.57,331.31,254.16,202.81,332.08,362.33
SNU13,764.55,746.91,761.24,839.45,380.44,408.27,341.33,401.77,411.92,325.86,437.68,417.53
ELOC,774.51,745.33,752.77,792.67,392.88,389.28,381.05,385.28,359.33,273.44,641.93,588.78
IFI16,830.23,701.02,692.55,536.19,293.35,305.94,318.64,311.82,381.25,289.4,364.04,291.56
EIF3D,994.6,830.78,1051.37,989.91,680.99,702.6,658.08,754.07,604.73,341.81,786.43,734.56
