"","NT5E"
"ARHGAP21",0.572996133995358
"ARHGAP22",0.231165162594018
"ARHGAP22-IT1",0.392971776902559
"ARHGAP23",0.00682831193968392
"ARHGAP24",0.0332514935363852
"ARHGAP25",0.035794220346558
"ARHGAP26",0.00243452684906442
"ARHGAP27",0.00515423112001923
"ARHGAP28",0.0221925108092986
"ARHGAP29",6.5616594846496e-07
"ARHGAP30",0.000223219149073639
"ARHGAP31",0.247043860968194
"ARHGAP32",0.586209377708126
"ARHGAP33",0.680374349374866
"ARHGAP35",0.50578233767778
"ARHGAP39",0.012979485124113
"ARHGAP4",0.679837903008306
"ARHGAP42",0.000482237300850841
"ARHGAP44",0.484406304565485
"ARHGAP5",0.994369641739915
"ARHGAP5-AS1",0.684063858518889
"ARHGAP6",0.00524396696870388
"ARHGAP9",0.0111392168450783
"ARHGDIA",0.933154423040097
"ARHGDIB",0.0148827745597728
"ARHGDIG",0.428057782435413
"ARHGEF1",0.132458294604958
"ARHGEF10",0.00931388829499014
"ARHGEF10L",0.000656896515168093
"ARHGEF11",0.140937726572131
"ARHGEF12",0.991601746100462
"ARHGEF15",0.00538140875985693
"ARHGEF16",0.355796324253926
"ARHGEF17",0.1416853613589
"ARHGEF18",0.255788017725408
"ARHGEF2",0.545355355374336
"ARHGEF25",0.48735903349261
"ARHGEF26",0.299898420314119
"ARHGEF26-AS1",0.278600606277066
"ARHGEF28",0.200036516328785
"ARHGEF3",0.00142062283591393
"ARHGEF33",0.352181611773489
"ARHGEF37",0.0279432581420673
"ARHGEF39",0.250320840133579
"ARHGEF4",0.664260949652527
"ARHGEF40",0.00468069123281012
"ARHGEF6",0.618896135912419
"ARHGEF7",0.342945240492047
"ARHGEF7-AS2",0.663156474513007
"ARHGEF9",0.0603977913182621
"ARID1A",5.28103476848951e-05
"ARID1B",0.970237307970811
"ARID2",0.503688321215481
"ARID3A",0.588693721176901
"ARID3B",0.00219767351749467
"ARID4A",0.986997300579253
"ARID4B",0.0753280552562288
"ARID5A",0.129165201480669
"ARID5B",0.303293146289624
"ARIH1",0.287192464205777
"ARIH2",0.00658959330424458
"ARIH2OS",0.0139037497199079
"ARL1",0.615141395759533
"ARL10",0.00579896856409023
"ARL11",1.10938633390845e-07
"ARL13B",0.680441303932264
"ARL14",0.66942592400743
"ARL14EP",0.00833176990347528
"ARL15",0.710001046725976
