"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FLNA",3.77902246783285e-104,0.54800729765554,0.954,0.907,8.13094474178916e-100
"TIMP1",1.59809763114396e-77,0.547847354816021,0.905,0.832,3.43846686316935e-73
"CLEC11A",4.22782661651966e-93,0.546835226057183,0.759,0.554,9.09659174810371e-89
"PSME1",3.76522549092692e-91,0.546216339808506,0.728,0.545,8.10125916627837e-87
"MYO1C",1.84157540767465e-122,0.543908235975143,0.789,0.556,3.96233364715278e-118
"COL6A2",8.42757495776741e-154,0.54350164971424,0.464,0.191,1.81327702791324e-149
"KRAS",1.48634869534663e-95,0.543225475787704,0.784,0.618,3.19802785290781e-91
"SMTN",3.05772614918355e-156,0.541622850779946,0.437,0.169,6.57900358258332e-152
"PTMS",3.49549854000709e-127,0.536888954351707,0.998,0.991,7.52091465867926e-123
"CSPG5",3.59813515474314e-196,0.535268449835433,0.379,0.11,7.74174759894533e-192
"ACTG2",6.88387036998356e-71,0.53398728125186,0.378,0.19,1.48113354880566e-66
"RCN3",2.61322194638365e-126,0.530878565430625,0.59,0.322,5.62260833983907e-122
"TNC",6.48953373741987e-151,0.528568913657735,0.499,0.209,1.39628807894326e-146
"HSP90B1",5.4407887608907e-120,0.527167725558987,0.997,0.992,1.17064010979324e-115
"FAM43A",1.16447169828996e-78,0.522963278653393,0.52,0.316,2.50547730604068e-74
"EFEMP2",7.09634287203556e-148,0.521190617204256,0.51,0.227,1.52684913234717e-143
"TSPAN12",2.0039243998355e-218,0.521011407414966,0.336,0.079,4.31164373868607e-214
"COL4A2",3.03330633328741e-107,0.51798998044636,0.571,0.311,6.5264619067012e-103
"COL5A1",3.17250272033448e-133,0.517943115749006,0.517,0.245,6.82595685307166e-129
"CALM1",2.01385026908302e-101,0.512699153430384,0.979,0.96,4.33300023895903e-97
"EMP3",2.13094882170685e-127,0.505234067526906,0.971,0.888,4.58494948478447e-123
"ADGRA2",3.91938904324836e-128,0.503250579891146,0.51,0.252,8.43295746545318e-124
"TIMP2",2.78689462006008e-112,0.499357462299799,0.675,0.426,5.99628246452127e-108
"ANTXR1",2.45514736862055e-84,0.496891556500949,0.767,0.605,5.28249507832398e-80
"CD44",1.9317180579171e-263,0.490166708508915,0.348,0.068,4.15628457341444e-259
"TCAF1",8.5814195385271e-67,0.484343002241667,0.717,0.562,1.84637822790949e-62
"GNS",1.29724453778081e-109,0.484078355207234,0.541,0.298,2.79115134748919e-105
